Wavelength_nm,Normalized_Intensity
1107,0.2970993742653167
1108,0.2823772308358823
1109,0.2688774845409756
1110,0.25667592744533146
1111,0.2458245306371799
1112,0.23635608155911636
1113,0.22828278465822663
1114,0.2216003025794345
1115,0.21629041984619635
1116,0.21232139418280083
1117,0.2096524240792917
1118,0.20823461633442258
1119,0.20801319242071445
1120,0.20892995200490483
1121,0.21092428002683028
1122,0.21393523629663766
1123,0.2179023345602938
1124,0.22276703866052147
1125,0.22847321911546375
1126,0.23496783736675653
1127,0.24220169034278838
1128,0.25012892172104817
1129,0.25870792117251445
1130,0.2679006443264876
1131,0.27767253513350015
1132,0.2879926247307277
1133,0.2988325235606007
1134,0.3101666443713475
1135,0.32197137102508744
1136,0.33422470241623087
1137,0.3469059382384791
1138,0.359995026645368
1139,0.37347236508717946
1140,0.3873182651495408
1141,0.40151278935611623
1142,0.4160352883412458
1143,0.4308643723725526
1144,0.44597758655907216
1145,0.4613513259415415
1146,0.47696088857290947
1147,0.4927801837332983
1148,0.5087820894848376
1149,0.524938211001832
1150,0.541219168018866
1151,0.5575946770362272
1152,0.574033620378802
1153,0.5905043683155123
1154,0.6069748027437999
1155,0.6234126477524263
1156,0.6397855591184195
1157,0.6560614297229496
1158,0.6722084507491729
1159,0.6881954704848465
1160,0.7039919918635051
1161,0.7195684745420372
1162,0.7348964545948956
1163,0.7499485565278975
1164,0.7646989016904571
1165,0.7791227850310913
1166,0.7931972391898909
1167,0.8069006642130522
1168,0.8202131616115262
1169,0.833116493116719
1170,0.8455939294030947
1171,0.8576306314710092
1172,0.8692131104853811
1173,0.8803297791717596
1174,0.8909703950804961
1175,0.9011263896922143
1176,0.9107906376612942
1177,0.9199573632540845
1178,0.9286222996868895
1179,0.9367822518677701
1180,0.9444354708221896
1181,0.951581128908464
1182,0.9582196350145827
1183,0.964352276056551
1184,0.9699813013065735
1185,0.9751098208158436
1186,0.9797416540655082
1187,0.9838814319488525
1188,0.9875343104957872
1189,0.9907061542809412
1190,0.9934032469353746
1191,0.9956324363490142
1192,0.9974009360698254
1193,0.9987163759619307
1194,0.9995867156089427
1195,1.000020206326085
1196,1.00002539119959
1197,0.9996110136032307
1198,0.9987860626817954
1199,0.997559668245385
1200,0.9959411534189042
1201,0.9939399461702126
1202,0.9915656153536624
1203,0.9888278115997516
1204,0.9857362808713095
1205,0.9823008320319541
1206,0.978531333229756
1207,0.9744376967309922
1208,0.9700298670324599
1209,0.9653178126892304
1210,0.9603115143747761
1211,0.9550209556519129
1212,0.9494561163510565
1213,0.9436269579781714
1214,0.9375434239188785
1215,0.9312154194164545
1216,0.9246528163905589
1217,0.9178654312467173
1218,0.9108630297822157
1219,0.9036553077823372
1220,0.8962518907078344
1221,0.888662322357731
1222,0.8808960543503427
1223,0.872962447516374
1224,0.86487074723104
1225,0.8566301009739408
1226,0.8482495170436799
1227,0.8397379001685923
1228,0.8311039927703995
1229,0.8223564288905478
1230,0.8135036587298976
1231,0.8045540196912232
1232,0.7955156462159094
1233,0.7863965556036204
1234,0.7772045460627207
1235,0.7679472942566108
1236,0.758632244918855
1237,0.749266716828144
1238,0.7398577873025421
1239,0.7304124035380112
1240,0.7209372647775281
1241,0.7114389365996578
1242,0.7019237327574321
1243,0.6923978307884784
1244,0.682867154722311
1245,0.6733374910836789
1246,0.6638143730006932
1247,0.6543031962313449
1248,0.6448091047005666
1249,0.6353371065752208
1250,0.6258919609290848
1251,0.6164782941168803
1252,0.6071004871141216
1253,0.5977627924975546
1254,0.5884692220268994
1255,0.5792236644335388
1256,0.5700297729950619
1257,0.5608910840744827
1258,0.5518109047766591
1259,0.5427924317754126
1260,0.5338386396234769
1261,0.5249523988636834
1262,0.5161363661807594
1263,0.5073931001257513
1264,0.49872495502409997
1265,0.49013419192095775
1266,0.4816228788487439
1267,0.47319299403672044
1268,0.4648463355619694
1269,0.45658461361974045
1270,0.4484093726966922
1271,0.440322069741032
1272,0.43232401182040997
1273,0.4244164173705974
1274,0.41660037182132786
1275,0.40887686974419557
1276,0.4012467901516818
1277,0.393710918295577
1278,0.38626994129011155
1279,0.3789244494998111
1280,0.3716749518472206
1281,0.3645218581254621
1282,0.35746551188034104
1283,0.3505061565250516
1284,0.3436439821051399
1285,0.3368790797049469
1286,0.330211496793746
1287,0.3236411860067825
1288,0.3171680622331708
1289,0.31079195321745867
1290,0.3045126506854628
1291,0.2983298702311346
1292,0.29224328984448145
1293,0.2862525244123257
1294,0.28035714782524507
1295,0.2745566843971032
1296,0.26885061375253827
