Wavelength (nm);Frequency (PHz);Spectrum (arb. u.)
988.44702;0.3033;1.4166
989.26098;0.30305;1.40092
990.07485;0.3028;1.3562
990.88863;0.30255;1.43574
991.70233;0.3023;1.48205
992.51593;0.30205;1.40412
993.32945;0.30181;1.44746
994.14288;0.30156;1.41256
994.95622;0.30131;1.40266
995.76947;0.30107;1.4113
996.58264;0.30082;1.2836
997.39571;0.30058;1.47704
998.2087;0.30033;1.51721
999.0216;0.30009;1.49803
999.83441;0.29984;1.55001
1000.64714;0.2996;1.58423
1001.45977;0.29936;1.60264
1002.27232;0.29911;1.83985
1003.08478;0.29887;2.04981
1003.89715;0.29863;2.12526
1004.70944;0.29839;2.3836
1005.52163;0.29815;2.62435
1006.33374;0.29791;2.79946
1007.14576;0.29767;3.06637
1007.95769;0.29743;3.30677
1008.76953;0.29719;3.47264
1009.58128;0.29695;3.69772
1010.39295;0.29671;3.84282
1011.20453;0.29647;4.27048
1012.01602;0.29623;4.47549
1012.82742;0.296;4.69855
1013.63873;0.29576;4.77706
1014.44995;0.29552;4.96326
1015.26109;0.29529;5.12172
1016.07214;0.29505;5.14761
1016.8831;0.29482;5.11987
1017.69397;0.29458;4.98725
1018.50476;0.29435;4.8602
1019.31545;0.29411;4.81519
1020.12606;0.29388;4.65161
1020.93658;0.29364;4.8117
1021.74701;0.29341;5.31686
1022.55735;0.29318;5.90624
1023.36761;0.29295;6.36888
1024.17778;0.29272;6.35117
1024.98785;0.29248;5.79588
1025.79784;0.29225;5.81593
1026.60775;0.29202;7.67422
1027.41756;0.29179;11.4667
1028.22729;0.29156;15.5643
1029.03692;0.29133;18.1205
1029.84647;0.2911;17.8684
1030.65594;0.29088;16.5163
1031.46531;0.29065;17.3462
1032.27459;0.29042;22.2359
1033.08379;0.29019;28.5428
1033.8929;0.28996;32.9228
1034.70192;0.28974;31.8327
1035.51085;0.28951;25.8608
1036.3197;0.28929;18.0664
1037.12845;0.28906;11.7706
1037.93712;0.28883;9.03738
1038.7457;0.28861;11.2948
1039.55419;0.28839;18.2919
1040.36259;0.28816;28.8639
1041.17091;0.28794;38.5402
1041.97914;0.28771;39.252
1042.78727;0.28749;32.2649
1043.59532;0.28727;24.5967
1044.40329;0.28705;18.2892
1045.21116;0.28682;12.8829
1046.01895;0.2866;11.5588
1046.82665;0.28638;16.3104
1047.63425;0.28616;24.8701
1048.44178;0.28594;34.083
1049.24921;0.28572;41.9632
1050.05655;0.2855;46.7851
1050.86381;0.28528;47.3362
