Raman_shift_(cm-1),Normalized_intensity,
1433.73282,0.45413,
1433.12963,0.39088,
1433.44896,0.40629,
1434.83274,0.46884,
1435.13079,0.45413,
1435.88536,0.44309,
1437.0326,0.46172,
1437.51515,0.4774,
1436.80197,0.44217,
1438.02609,0.49253,
1439.07871,0.47171,
1438.9628,0.45633,
1439.56953,0.45321,
1440.88489,0.46273,
1442.39032,0.45755,
1444.32407,0.45735,
1445.84217,0.46444,
1446.79713,0.48108,
1447.45709,0.49598,
1448.17704,0.50899,
1448.75572,0.52294,
1449.52212,0.48823,
1450.10347,0.46849,
1449.62856,0.50932,
1451.02417,0.46445,
1451.69359,0.48099,
1452.59482,0.45781,
1454.20569,0.45683,
1455.90171,0.4675,
1456.90229,0.48479,
1458.56992,0.48755,
1458.46348,0.47252,
1459.65074,0.50366,
1460.19116,0.48052,
1460.52463,0.46307,
1461.12459,0.44845,
1460.48593,0.50564,
1462.72127,0.45556,
1463.01695,0.47753,
1463.22983,0.49317,
1463.38122,0.50951,
1463.83539,0.53348,
1463.96312,0.51423,
1464.8256,0.48866,
1464.85016,0.5314,
1465.06305,0.51484,
1465.32916,0.50058,
1465.77268,0.47107,
1466.6761,0.45717,
1467.54676,0.47597,
1468.78862,0.474,
1468.98022,0.45882,
1469.79984,0.45148,
1471.24503,0.46609,
1470.91751,0.44989,
1471.79036,0.48301,
1472.40774,0.49123,
1473.15285,0.46595,
1474.12723,0.44854,
1474.932,0.44177,
1475.33142,0.46884,
1475.79876,0.49447,
1476.20427,0.45213,
1477.04218,0.47238,
1477.41064,0.49506,
1477.41064,0.4374,
1477.62353,0.42362,
1478.07592,0.4539,
1478.73765,0.47921,
1479.11375,0.49989,
1479.51824,0.4659,
1480.49754,0.48144,
1482.14388,0.49589,
1481.34909,0.4808,
1483.58443,0.4989,
1483.76829,0.48331,
1485.31658,0.47804,
1486.99067,0.48034,
1487.85041,0.49835,
1488.18285,0.51742,
1488.91635,0.48223,
1489.226,0.51177,
1489.29697,0.49828,
1489.91198,0.47058,
1490.67365,0.47952,
1492.14969,0.49362,
1491.51457,0.47459,
1493.89437,0.50117,
1495.37851,0.50868,
1495.9675,0.49345,
1496.63456,0.48706,
1497.75796,0.49871,
1498.82241,0.48413,
1499.48341,0.50439,
1499.49792,0.52588,
1499.80965,0.54664,
1499.76403,0.48218,
